site,dist,site_name,start,end,lat,lon,source,state,height,bar_ht,wmo,location,path,loc_lat,loc_lon
-------,-----,----------------------------------------,-------,-------,--------,---------,--------------,---,----------,--------,------,NA,NA,NA,NA
003006,03,FITZROY CROSSING COMP.,1893,2000,-18.1919,125.5644,GPS,WA,114.0,..,..,"Fitzroy Crossing, WA ",/places/wa/fitzroy-crossing/,-18.192,125.564
003007,03,DERBY POST OFFICE,1882,1997,-17.3044,123.6292,.....,WA,8.0,9.4,..,"Derby, WA ",/places/wa/derby/,-17.304,123.629
003008,03,ELLENDALE,1919,..,-17.9281,124.8108,GPS,WA,120.0,..,..,"Mount Hardman, WA ",/places/wa/mount-hardman/,-17.928,124.811
003009,03,JUBILEE DOWNS,1937,..,-18.3547,125.3033,GPS,WA,100.0,..,..,"Mount Hardman, WA ",/places/wa/DQUJ/?location=Mount Hardman,-18.355,125.303
003010,03,KIMBERLEY DOWNS,1885,..,-17.3927,124.3574,GPS,WA,90.0,..,..,"Mount Hardman, WA ",/places/wa/DR82/?location=Mount Hardman,-17.393,124.357
003011,03,LEOPOLD DOWNS,1899,2021,-17.7535,125.3807,GPS,WA,220.0,..,..,"King Leopold Ranges, WA ",/places/wa/DRK9/?location=King Leopold Ranges,-17.753,125.381
003012,03,LIVERINGA UPPER,1898,2002,-18.0483,124.1728,GPS,WA,60.0,..,..,"Camballin, WA ",/places/wa/DPP7/?location=Camballin,-18.048,124.173
003013,03,LULUIGUI,1920,1983,-18.1450,124.0275,.....,WA,80.0,..,..,"Geegully Creek, WA ",/places/wa/DPNC/?location=Geegully Creek,-18.145,124.028
003014,03,GOGO STATION,1908,..,-18.2914,125.5869,GPS,WA,150.0,..,..,"St George Ranges, WA ",/places/wa/DQVQ/?location=St George Ranges,-18.291,125.587
003015,03,MEDA,1911,..,-17.3680,123.9956,GPS,WA,75.0,..,..,"Meda, WA ",/places/wa/DPW9/?location=Meda,-17.368,123.996
003016,03,MOUNT ANDERSON,1899,1986,-18.0358,123.9286,.....,WA,40.0,..,..,"Camballin, WA ",/places/wa/DPN7/?location=Camballin,-18.036,123.929
003017,03,MOUNT HOUSE STATION,1923,..,-17.0516,125.7051,GPS,WA,270.0,..,..,"King Leopold Ranges, WA ",/places/wa/DRTZ/?location=King Leopold Ranges,-17.052,125.705
003018,03,MYROODAH,1907,..,-18.1225,124.2692,GPS,WA,60.0,..,..,"Geegully Creek, WA ",/places/wa/DPPF/?location=Geegully Creek,-18.122,124.269
003019,03,NAPIER DOWNS,1912,..,-17.3305,124.8166,GPS,WA,80.0,..,..,"King Leopold Ranges, WA ",/places/wa/DRD1/?location=King Leopold Ranges,-17.331,124.817
003020,03,NERRIMA,1935,..,-18.4922,124.3992,GPS,WA,95.0,..,..,"St George Ranges, WA ",/places/wa/DQB6/?location=St George Ranges,-18.492,124.399
003021,03,NOONKANBAH,1898,1992,-18.4875,124.8231,.....,WA,70.0,..,..,"Mount Hardman, WA ",/places/wa/DQF4/?location=Mount Hardman,-18.488,124.823
003022,03,QUANBUN DOWNS,1898,..,-18.3817,125.2267,GPS,WA,100.0,..,..,"Mount Hardman, WA ",/places/wa/DQGU/?location=Mount Hardman,-18.382,125.227
003023,03,ROEBUCK PLAINS,1902,..,-17.9315,122.4722,GPS,WA,15.0,..,..,"Roebuck, WA ",/places/wa/DP0M/?location=Roebuck,-17.931,122.472
003024,03,UDIALLA,1930,..,-17.9464,123.7383,GPS,WA,20.0,..,..,"Geegully Creek, WA ",/places/wa/DPJT/?location=Geegully Creek,-17.946,123.738
003025,03,COCKATOO ISLAND,1948,2014,-16.0992,123.6161,GPS,WA,91.0,..,..,"Unnamed location, WA ",/places/wa/F0M4/?location=Unnamed location,-16.099,123.616
003026,03,YEEDA,1890,..,-17.6153,123.6483,GPS,WA,5.0,..,..,"Willare, WA ",/places/wa/DPMK/?location=Willare,-17.615,123.648
003027,03,FOSSIL DOWNS,1904,..,-18.1386,125.7764,GPS,WA,120.0,..,..,"King Leopold Ranges, WA ",/places/wa/DRN1/?location=King Leopold Ranges,-18.139,125.776
003028,03,ANNA PLAINS,1908,..,-19.2536,121.4861,GPS,WA,10.0,..,..,"Eighty Mile Beach, WA ",/places/wa/9YK5/?location=Eighty Mile Beach,-19.254,121.486
003029,03,FRAZIER DOWNS,1910,1980,-18.7983,121.7125,.....,WA,9.0,..,..,"Lagrange, WA ",/places/wa/9YTH/?location=Lagrange,-18.798,121.713
003030,03,BIDYADANGA,1891,..,-18.6844,121.7803,GPS,WA,11.0,12.0,94202,"Lagrange, WA ",/places/wa/9YTQ/?location=Lagrange,-18.684,121.780
