site,dist,site_name,start,end,lat,lon,source,state,height,bar_ht,wmo,location,path,loc_lat,loc_lon,reqs,resps,request_time,current_temp,current_temp_time,station_id,approx_distance
009538,09A,DWELLINGUP,1934,..,-32.7103,116.0594,GPS,WA,267.0,268.0,94620,"Marrinup, WA ",/places/wa/marrinup/,-32.710,116.059,,,2025-03-24T20:08:07Z,NA,3:50am,94620,2.2
009542,09A,ESPERANCE AERO,1950,..,-33.6825,121.8275,GPS,WA,142.0,142.5,95638,"Gibson, WA ",/places/wa/3VMD/?location=Gibson,-33.682,121.828,,,2025-03-24T20:08:07Z,16.3,3:50am,95638,NA
009573,09A,MANJIMUP,1915,..,-34.2508,116.1450,GPS,WA,286.7,287.2,94617,"Manjimup, WA ",/places/wa/manjimup/,-34.251,116.145,,,2025-03-24T20:08:07Z,18.9,3:50am,94617,1.2
009581,09A,MOUNT BARKER,1886,..,-34.6250,117.6361,GPS,WA,300.0,..,94630,"Mount Barker, WA ",/places/wa/mount-barker/,-34.625,117.636,,,2025-03-24T20:08:07Z,19.8,3:50am,94802,35.8
009592,09A,PEMBERTON,1941,..,-34.4478,116.0433,GPS,WA,174.0,175.0,95613,"Pemberton, WA ",/places/wa/pemberton/,-34.448,116.043,,,2025-03-24T20:08:07Z,18.9,3:50am,94617,24.2
009603,09A,BUSSELTON AERO,1997,..,-33.6818,115.4026,GPS,WA,16.3,16.9,95611,"Kalgup, WA ",/places/wa/kalgup/,-33.682,115.403,,,2025-03-24T20:08:07Z,18.8,3:50am,95611,2.7
009617,09A,BRIDGETOWN,1997,..,-33.9486,116.1311,GPS,WA,178.7,179.0,95632,"Bridgetown, WA ",/places/wa/bridgetown/,-33.949,116.131,,,2025-03-24T20:08:07Z,17.1,3:50am,95632,2.5
009789,09A,ESPERANCE,1969,..,-33.8300,121.8925,GPS,WA,25.0,27.0,94638,"Esperance, WA ",/places/wa/esperance/,-33.830,121.892,,,2025-03-24T20:08:07Z,17.1,3:50am,94638,2.4
009842,09A,JARRAHWOOD,1975,..,-33.7964,115.6658,GPS,WA,130.0,..,95623,"Yoganup, WA ",/places/wa/3J7B/?location=Yoganup,-33.796,115.666,,,2025-03-24T20:08:07Z,18.8,3:50am,95611,28.9
009871,09A,WINDY HARBOUR,1984,..,-34.8373,116.0260,GPS,WA,4.5,2.9,94640,"Windy Harbour, WA ",/places/wa/windy-harbour/,-34.837,116.026,,,2025-03-24T20:08:07Z,18.8,3:50am,95617,41.5
